"codigo_intervencion","fecha_registro_intervencion","nombre_intervencion","objetivo_general","fecha_inicial","fecha_final","estado_intervencion","modalidad_cooperacion","plan_nacional_desarrollo","hoja_ruta","ods","sectores_gobierno","nombre_del_actor","tipo_de_actor","pais_del_actor","rol_del_actor","tipo_de_asistencia","monto_aporte_en_usd","es_adicion","total_territorios"
"123078","2012-01-01T00:00:00.000","Seguridad Económica y actividades de protección en Colombia","Que la población desplzada este en capacidad de cubrir sus necesidades básicas y tenga acceso a los servicios escenciales para contribuir con el restablecimiento de su comunidad.","2012-01-01T00:00:00.000","2013-01-01T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono./07. Otro","1. FOCALIZAR Y DINAMIZAR.E. No Aplica","Default O_D_S","Default SECTORES_GOB","COMITÉ INTERNACIONAL DE LA CRUZ ROJA","INTERNACIONAL/ORGANISMO MULTILATERAL/OTROS ORGANISMOS","Suiza","| Donante","| Default TIPO_ASISTENCIA_INT","0","SI","1"
"122571","2012-04-12T00:00:00.000","Desarrollo de las Mipymes bajo el modelo de clúster - Fortalecimiento de las políticas de competitividad y productividad en Colombia","Facilitar la articulación e inserción de MIPYMES entorno a encadenamientos productivos de valor global y construir un modelo de competitividad e innovación en Colombia, promueva la creación de empleo y contribuya al crecimiento sostenible del país.","2012-04-12T00:00:00.000","2018-12-01T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/01. Competitividad e infraestructura estratégicas","1. FOCALIZAR Y DINAMIZAR/D. Otro","09. Industria, innovación e infraestructura","Comercio, Industria y Turismo","COREA","INTERNACIONAL/BILATERAL/SECTORIAL/OTROS","Corea del Sur","| Donante","| Asistencia Financiera","3000000","SI","1"
"122571","2012-04-12T00:00:00.000","Desarrollo de las Mipymes bajo el modelo de clúster - Fortalecimiento de las políticas de competitividad y productividad en Colombia","Facilitar la articulación e inserción de MIPYMES entorno a encadenamientos productivos de valor global y construir un modelo de competitividad e innovación en Colombia, promueva la creación de empleo y contribuya al crecimiento sostenible del país.","2012-04-12T00:00:00.000","2018-12-01T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/01. Competitividad e infraestructura estratégicas","1. FOCALIZAR Y DINAMIZAR/D. Otro","09. Industria, innovación e infraestructura","Comercio, Industria y Turismo","OFICINA DE LAS NACIONES UNIDAS DE SERVICIOS PARA PROYECTOS","INTERNACIONAL/ORGANISMO MULTILATERAL/AGENCIA DEL SISTEMA DE NACIONES UNIDAS","Estados Unidos","| Ejecutor","| Asistencia Técnica","0","SI","1"
"122571","2012-04-12T00:00:00.000","Desarrollo de las Mipymes bajo el modelo de clúster - Fortalecimiento de las políticas de competitividad y productividad en Colombia","Facilitar la articulación e inserción de MIPYMES entorno a encadenamientos productivos de valor global y construir un modelo de competitividad e innovación en Colombia, promueva la creación de empleo y contribuya al crecimiento sostenible del país.","2012-04-12T00:00:00.000","2018-12-01T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/01. Competitividad e infraestructura estratégicas","1. FOCALIZAR Y DINAMIZAR/D. Otro","09. Industria, innovación e infraestructura","Comercio, Industria y Turismo","ORGANIZACIÓN DE LAS NACIONES UNIDAS PARA EL DESARROLLO INDUSTRIAL","INTERNACIONAL/ORGANISMO MULTILATERAL/AGENCIA DEL SISTEMA DE NACIONES UNIDAS","Austria","| Ejecutor","| Asistencia Técnica","0","SI","1"
"123143","2012-07-30T00:00:00.000","Programa de fortalecimiento Institucional para las Victimas (VISP)","El Programa apoya la implementación de la Ley de Víctimas y Restitución de Tierras que le da derecho a las víctimas del conflicto armado colombiano a recibir asistencia integral y reparación por parte del Estado Colombiano, como primer paso hacia la reconciliación nacional.","2012-07-30T00:00:00.000","2020-04-28T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono./07. Otro","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz","Default O_D_S","Default SECTORES_GOB","AGENCIA DE LOS ESTADOS UNIDOS PARA EL DESARROLLO INTERNACIONAL","INTERNACIONAL/BILATERAL/SECTORIAL/AGENCIAS DE COOPERACIÓN","Estados Unidos","| Receptor","| Asistencia Técnica","0","SI","1"
"123143","2012-07-30T00:00:00.000","Programa de fortalecimiento Institucional para las Victimas (VISP)","El Programa apoya la implementación de la Ley de Víctimas y Restitución de Tierras que le da derecho a las víctimas del conflicto armado colombiano a recibir asistencia integral y reparación por parte del Estado Colombiano, como primer paso hacia la reconciliación nacional.","2012-07-30T00:00:00.000","2020-04-28T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono./07. Otro","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz","Default O_D_S","Default SECTORES_GOB","EE.UU.","INTERNACIONAL/BILATERAL/SECTORIAL/EMBAJADAS","Estados Unidos","| Donante","| Asistencia Técnica","50000000","SI","1"
"123143","2012-07-30T00:00:00.000","Programa de fortalecimiento Institucional para las Victimas (VISP)","El Programa apoya la implementación de la Ley de Víctimas y Restitución de Tierras que le da derecho a las víctimas del conflicto armado colombiano a recibir asistencia integral y reparación por parte del Estado Colombiano, como primer paso hacia la reconciliación nacional.","2012-07-30T00:00:00.000","2020-04-28T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono./07. Otro","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz","Default O_D_S","Default SECTORES_GOB","OTRO ACTOR NACIONAL","NACIONAL/PÚBLICO","Colombia/Centro Oriente/Bogotá D.C./Bogotá D.C.","| Donante","| Asistencia Técnica","10000000","SI","1"
"123165","2012-08-15T00:00:00.000","PROYECTO DEMOSTRATIVO PILOTO PARA LA GESTIÓN INTEGRALDE LOS RESIDUOS DE SUSTANCIAS AGOTADORAS DE LA CAPADE OZONO - SAO","Proyecto piloto con el objeto de destruir las sustancias agotadoras de la capa de ozono","2012-08-15T00:00:00.000","2019-06-30T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono./07. Otro","1. FOCALIZAR Y DINAMIZAR.E. No Aplica","Default O_D_S","Default SECTORES_GOB","MINISTERIO DE AMBIENTE Y DESARROLLO SOSTENIBLE","NACIONAL/PÚBLICO/RAMA EJECUTIVA/AMBIENTE Y DESARROLLO SOSTENIBLE","Colombia/Centro Oriente/Bogotá D.C./Bogotá D.C.","| Ejecutor","| Asistencia Técnica","0","SI","1"
"123165","2012-08-15T00:00:00.000","PROYECTO DEMOSTRATIVO PILOTO PARA LA GESTIÓN INTEGRALDE LOS RESIDUOS DE SUSTANCIAS AGOTADORAS DE LA CAPADE OZONO - SAO","Proyecto piloto con el objeto de destruir las sustancias agotadoras de la capa de ozono","2012-08-15T00:00:00.000","2019-06-30T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono./07. Otro","1. FOCALIZAR Y DINAMIZAR.E. No Aplica","Default O_D_S","Default SECTORES_GOB","PROGRAMA DE LAS NACIONES UNIDAS PARA EL DESARROLLO","INTERNACIONAL/ORGANISMO MULTILATERAL/AGENCIA DEL SISTEMA DE NACIONES UNIDAS","Estados Unidos","| Ejecutor","| Asistencia Técnica","0","SI","1"
"123165","2012-08-15T00:00:00.000","PROYECTO DEMOSTRATIVO PILOTO PARA LA GESTIÓN INTEGRALDE LOS RESIDUOS DE SUSTANCIAS AGOTADORAS DE LA CAPADE OZONO - SAO","Proyecto piloto con el objeto de destruir las sustancias agotadoras de la capa de ozono","2012-08-15T00:00:00.000","2019-06-30T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono./07. Otro","1. FOCALIZAR Y DINAMIZAR.E. No Aplica","Default O_D_S","Default SECTORES_GOB","PROTOCOLO DE MONTREAL","INTERNACIONAL/ORGANISMO MULTILATERAL/OTROS ORGANISMOS","Canadá","| Donante","| Asistencia Financiera","1195000","SI","1"
"123136","2012-09-01T00:00:00.000","Protección y ayuda humanitaria para las comunidades afrocolombianas e indígenas afectadas por el conflicto en los departamentos del Valle del Cauca y Nariño en Colombia","Mejorar el acceso a ayuda humanitaria para beneficiarios en los territorios de comunidades etnicas en el Valle del Cauca y Nariño","2012-09-01T00:00:00.000","2013-09-01T00:00:00.000","Ejecución","Flujos Privados","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono./07. Otro","1. FOCALIZAR Y DINAMIZAR.E. No Aplica","Default O_D_S","Default SECTORES_GOB","COMISIÓN EUROPEA DIRECCIÓN GENERAL DE AYUDA HUMANITARIA","INTERNACIONAL/BILATERAL/SECTORIAL/OTROS","Bélgica","| Donante","| Asistencia Humanitaria","545280","SI","1"
"123136","2012-09-01T00:00:00.000","Protección y ayuda humanitaria para las comunidades afrocolombianas e indígenas afectadas por el conflicto en los departamentos del Valle del Cauca y Nariño en Colombia","Mejorar el acceso a ayuda humanitaria para beneficiarios en los territorios de comunidades etnicas en el Valle del Cauca y Nariño","2012-09-01T00:00:00.000","2013-09-01T00:00:00.000","Ejecución","Flujos Privados","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono./07. Otro","1. FOCALIZAR Y DINAMIZAR.E. No Aplica","Default O_D_S","Default SECTORES_GOB","SOLIDARIDAD INTERNACIONAL","INTERNACIONAL/PRIVADO/ENTIDADES SIN ÁNIMO DE LUCRO/FUNDACIONES","España","| Donante","| Asistencia Humanitaria","0","SI","1"
"R-AO-13-136","2013-04-01T00:00:00.000","Liderazgo y aprendizaje para la efectividad del desarrollo","mejorar la habilidad de los líderes emergentes en países en desarrollo para implementar soluciones innovadoras frente a los retos del desarrollo, hacer incidencia en política pública y tomar roles de toma de decisión en sus países","2013-04-01T00:00:00.000","2019-03-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/05. Buen gobierno/5.6 Gestión óptima de la gestión de los recursos públicos.","1. FOCALIZAR Y DINAMIZAR/D. Otro","16.7.Garantizar la toma de decisiones receptiva, inclusiva, participativa y representativa en todos los niveles.","Planeación","CANADA","INTERNACIONAL/BILATERAL/SECTORIAL/OTROS","Canadá","| Donante","| Asistencia Financiera","3004.91","SI","1"
"R-AO-13-136","2013-04-01T00:00:00.000","Liderazgo y aprendizaje para la efectividad del desarrollo","mejorar la habilidad de los líderes emergentes en países en desarrollo para implementar soluciones innovadoras frente a los retos del desarrollo, hacer incidencia en política pública y tomar roles de toma de decisión en sus países","2013-04-01T00:00:00.000","2019-03-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/05. Buen gobierno/5.6 Gestión óptima de la gestión de los recursos públicos.","1. FOCALIZAR Y DINAMIZAR/D. Otro","16.7.Garantizar la toma de decisiones receptiva, inclusiva, participativa y representativa en todos los niveles.","Planeación","ST FRANCIS XAVIER UNIVERSITY","INTERNACIONAL/PRIVADO/ENTIDADES SIN ÁNIMO DE LUCRO/ACADEMIA (Universidades, Centros de Investigación)","Canadá","| Ejecutor","| Asistencia Técnica","0","SI","1"
"44219V","2013-07-30T00:00:00.000","Programa Paisajes Conectados","Restaurar la continuidad del bosque y propiciar el manejo sostenible de los remanentes de bosque existentes, contribuyendo con la reducción de la deforestación y la consolidación de un corredor biocultural en el piedemonte amazónico, así como la configuración de un cinturón de conservación y manejo sostenible en la zona baja de la Amazonía","2013-07-30T00:00:00.000","2020-07-30T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono./07. Otro","1. FOCALIZAR Y DINAMIZAR.E. No Aplica","Default O_D_S","Default SECTORES_GOB","AMAZON CONSERVATION TEAM - ACT","INTERNACIONAL/PRIVADO/ENTIDADES SIN ÁNIMO DE LUCRO/FUNDACIONES","Colombia","| Ejecutor","| Asistencia Técnica","0","SI","1"
"44219V","2013-07-30T00:00:00.000","Programa Paisajes Conectados","Restaurar la continuidad del bosque y propiciar el manejo sostenible de los remanentes de bosque existentes, contribuyendo con la reducción de la deforestación y la consolidación de un corredor biocultural en el piedemonte amazónico, así como la configuración de un cinturón de conservación y manejo sostenible en la zona baja de la Amazonía","2013-07-30T00:00:00.000","2020-07-30T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono./07. Otro","1. FOCALIZAR Y DINAMIZAR.E. No Aplica","Default O_D_S","Default SECTORES_GOB","EE.UU.","INTERNACIONAL/BILATERAL/SECTORIAL/EMBAJADAS","Estados Unidos","| Donante","| Asistencia Técnica","4516030","SI","1"
"44219V","2013-07-30T00:00:00.000","Programa Paisajes Conectados","Restaurar la continuidad del bosque y propiciar el manejo sostenible de los remanentes de bosque existentes, contribuyendo con la reducción de la deforestación y la consolidación de un corredor biocultural en el piedemonte amazónico, así como la configuración de un cinturón de conservación y manejo sostenible en la zona baja de la Amazonía","2013-07-30T00:00:00.000","2020-07-30T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono./07. Otro","1. FOCALIZAR Y DINAMIZAR.E. No Aplica","Default O_D_S","Default SECTORES_GOB","FONDO ACCIÓN","INTERNACIONAL/PRIVADO/ENTIDADES SIN ÁNIMO DE LUCRO/FUNDACIONES","Colombia","| Receptor","| Asistencia Técnica","0","SI","1"
"44219V","2013-07-30T00:00:00.000","Programa Paisajes Conectados","Restaurar la continuidad del bosque y propiciar el manejo sostenible de los remanentes de bosque existentes, contribuyendo con la reducción de la deforestación y la consolidación de un corredor biocultural en el piedemonte amazónico, así como la configuración de un cinturón de conservación y manejo sostenible en la zona baja de la Amazonía","2013-07-30T00:00:00.000","2020-07-30T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono./07. Otro","1. FOCALIZAR Y DINAMIZAR.E. No Aplica","Default O_D_S","Default SECTORES_GOB","OTRO ACTOR NACIONAL","NACIONAL/PÚBLICO","Colombia/Centro Oriente/Bogotá D.C./Bogotá D.C.","| Donante","| Asistencia Técnica","1310530","SI","1"
"144070","2013-08-30T00:00:00.000","Programa Conservación y Gobernanza en el Piedemonte Amazónico","Adopción de modelos agroforestales","2013-08-30T00:00:00.000","2020-07-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono./07. Otro","1. FOCALIZAR Y DINAMIZAR.E. No Aplica","Default O_D_S","Default SECTORES_GOB","AGENCIA DE LOS ESTADOS UNIDOS PARA EL DESARROLLO INTERNACIONAL","INTERNACIONAL/BILATERAL/SECTORIAL/AGENCIAS DE COOPERACIÓN","Estados Unidos","| Receptor","| Asistencia Técnica","0","SI","1"
"144070","2013-08-30T00:00:00.000","Programa Conservación y Gobernanza en el Piedemonte Amazónico","Adopción de modelos agroforestales","2013-08-30T00:00:00.000","2020-07-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono./07. Otro","1. FOCALIZAR Y DINAMIZAR.E. No Aplica","Default O_D_S","Default SECTORES_GOB","EE.UU.","INTERNACIONAL/BILATERAL/SECTORIAL/EMBAJADAS","Estados Unidos","| Donante","| Asistencia Técnica","5500000","SI","1"
"144070","2013-08-30T00:00:00.000","Programa Conservación y Gobernanza en el Piedemonte Amazónico","Adopción de modelos agroforestales","2013-08-30T00:00:00.000","2020-07-31T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono./07. Otro","1. FOCALIZAR Y DINAMIZAR.E. No Aplica","Default O_D_S","Default SECTORES_GOB","PATRIMONIO NATURAL FONDO PARA LA BIODIVERSIDAD Y AREAS PROTEGIDAS","NACIONAL/PRIVADO/ENTIDADES SIN ÁNIMO DE LUCRO/FUNDACIONES","Colombia/Centro Oriente/Bogotá D.C./Bogotá D.C.","| Ejecutor","| Asistencia Técnica","0","SI","1"
"43941V","2013-11-01T00:00:00.000","Apoyo a la Preparación e Implementación de la Estrategia Nacional REDD+ Protección del Bosque y del Clima.","La preparación y primeros procesos de implementación de la Estrategia Nacional REDD+ (ENREDD+) con un enfoque intersectorial, que incluye las estructuras regionales y  salvaguardas sociales y ambientales, siguiendo las orientaciones de la CMNUCC, están eficazmente apoyados, de acuerdo con los criterios del Paquete de Readiness del FCPF.,La preparación y primeros procesos de implementación de la Estrategia Nacional REDD+ (ENREDD+) con un enfoque intersectorial, que incluye las estructuras regionales y  salvaguardas sociales y ambientales, siguiendo las orientaciones de la CMNUCC, están eficazmente apoyados, de acuerdo con los criterios del Paquete de Readiness del FCPF.","2013-11-01T00:00:00.000","2021-01-29T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.3 Proteger y asegurar el uso sostenible del capital natural y mejorar la calidad ambiental.","1. FOCALIZAR Y DINAMIZAR/A. Conservación y Sostenibilidad Ambiental","13. Acción por el clima","Ambiente y Desarrollo Sostenible","AGENCIA DE COOPERACIÓN ALEMANA AL DESARROLLO","INTERNACIONAL/BILATERAL/SECTORIAL/AGENCIAS DE COOPERACIÓN","Alemania","| Receptor","| Asistencia Técnica","0","SI","1"
